iter	MAE	RMSE
0	1315.230601	1673.605663
5	1149.424046	1474.966049
10	1029.78567	1337.915664
15	945.0139237	1245.355692
20	885.40097	1183.865026
25	846.0279255	1146.247458
30	816.8372184	1120.718668
35	795.5501408	1103.701616
40	781.5231539	1093.907836
45	771.318836	1086.79566
50	764.146433	1081.733518
55	758.8945557	1078.016851
60	754.6900814	1074.656749
65	752.1149875	1072.794542
70	749.7332603	1070.593178
75	748.1991552	1069.401667
80	746.5411452	1067.503393
85	744.9471214	1066.009714
90	743.8269712	1064.985212
95	742.856383	1063.888916
100	741.410122	1062.05704
105	740.6952441	1061.391931
110	739.6472153	1060.080522
115	738.9021433	1059.246763
120	738.1757666	1058.392481
125	737.5686796	1057.728324
130	736.5391114	1056.444629
135	735.7050219	1055.21122
140	734.4585419	1052.99025
145	733.9077753	1052.268981
150	733.7812109	1052.007509
155	733.6081039	1051.778721
160	733.0725907	1051.077807
165	732.7322434	1050.627781
170	732.2878598	1049.969545
175	731.6303191	1048.876951
180	731.299515	1048.505548
185	731.053035	1048.221093
190	730.5272997	1047.462588
195	730.0697747	1046.6412
200	729.5062578	1045.829201
205	729.307572	1045.604002
210	728.5580413	1044.582223
215	728.1647372	1043.952977
220	727.4277222	1042.777153
225	726.4791145	1041.305967
230	726.1517522	1040.847561
235	725.5138454	1039.829619
240	725.1788173	1039.356728
245	724.9804443	1039.085108
250	724.4150501	1038.271366
255	724.2832447	1038.057607
260	724.0333229	1037.728298
265	723.8413642	1037.425831
270	723.7241083	1037.291283
275	723.5230757	1036.926584
280	723.2659574	1036.524239
285	722.9880319	1036.260457
290	722.4441489	1035.423608
295	722.3026439	1035.164575
300	721.9581508	1034.734412
305	721.7403004	1034.409853
310	721.5959793	1034.286104
315	720.8979193	1033.289683
320	720.6537078	1032.876926
325	720.4633917	1032.65693
330	720.0729036	1032.104428
335	719.5718085	1031.230806
340	719.2672872	1030.912176
345	718.4968711	1029.41886
350	718.1367334	1028.982909
355	717.6789737	1028.267157
360	717.5391896	1028.077808
365	716.9072278	1027.291175
370	716.5434919	1026.800379
375	716.487015	1026.748151
380	715.9720745	1025.853688
385	715.8252503	1025.602665
390	715.1963392	1024.626529
395	715.127112	1024.532324
400	714.415363	1023.526995
405	713.7334168	1022.553735
410	713.1993899	1021.82031
415	712.7930225	1021.258964
420	712.4859199	1020.525983
425	712.2504693	1020.196982
430	711.8292397	1019.5103
435	711.7437422	1019.437623
440	711.6232009	1019.325021
445	711.5010951	1019.014459
450	710.7976377	1017.958043
455	710.3432416	1017.323234
460	710.3071026	1017.299062
465	709.9866239	1016.843185
470	709.6583229	1016.458304
475	709.5803348	1016.383202
480	709.4421151	1016.286854
485	709.2310701	1015.974653
490	708.9278004	1015.532142
495	708.6417397	1015.063872
500	708.113423	1014.380821
505	707.9909262	1014.228685
510	707.5400501	1013.473705
515	707.5329318	1013.46592
520	707.1744368	1012.973249
525	706.853567	1012.587016
530	706.752112	1012.458582
535	706.7209011	1012.433186
540	706.6975125	1012.408937
545	706.3573999	1011.849059
550	705.5161921	1010.480251
555	705.4951502	1010.469114
560	705.3438673	1010.237697
565	705.2186327	1010.11055
570	705.1582447	1010.064556
575	704.987015	1009.821863
580	704.9608886	1009.807744
585	704.8868899	1009.731314
590	704.6808511	1009.506513
595	704.0093867	1008.350695
600	703.8386264	1008.112873
605	703.8162547	1008.094916
610	703.6124061	1007.75832
615	703.2827753	1007.219914
620	702.5096996	1005.946694
625	702.3742178	1005.626066
630	701.9802096	1005.079027
635	701.6386108	1004.646546
640	701.4673029	1004.447322
645	701.34903	1004.254878
650	700.9910826	1003.75194
655	700.7116708	1003.41281
660	700.624296	1003.243122
665	700.5444305	1003.186832
670	700.2497653	1002.840202
675	699.8958855	1002.210643
680	699.778786	1002.04251
685	699.4881101	1001.646065
690	699.3428504	1001.453922
695	699.2125313	1001.266302
700	698.822669	1000.578316
705	698.5592929	1000.1179
710	698.447669	999.9851814
715	698.106383	999.5399593
720	697.8298655	999.2289393
725	697.443836	998.5943763
730	697.1534731	998.1449628
735	696.9444618	997.6959489
740	696.8018617	997.4459098
745	696.287234	996.7703542
750	696.1936796	996.6795436
755	695.9640957	996.2217485
760	695.793883	995.9784568
765	695.6847622	995.8796918
770	695.5503755	995.7039736
775	695.5205726	995.6678528
780	695.265097	995.3081019
785	694.9317115	994.8645709
790	694.2980288	993.8750095
795	693.8677253	993.0526532
800	693.5930069	992.5975833
805	693.5872966	992.5883434
810	693.5413016	992.5412953
815	692.6652065	990.912602
820	692.0558511	990.0598331
825	691.505632	989.0294252
830	691.0236233	988.0898349
835	690.3248592	987.1580325
840	689.8572434	986.446281
845	689.3940864	985.6897282
850	689.2467146	985.4491197
855	689.1950094	985.4002675
860	689.1596527	985.3781165
865	688.9426627	985.0596165
870	688.7778473	984.8551287
875	688.4210732	984.1446824
880	688.1307103	983.7913431
885	687.982791	983.6148905
890	687.9382822	983.5799545
895	687.5566333	983.0934497
900	687.5299593	983.0670099
905	687.3977628	982.9446603
910	686.8812578	982.2633718
915	686.7706508	982.0335062
920	686.6318836	981.8284697
925	686.5984043	981.7799677
930	686.4709793	981.6044591
935	685.8536452	980.6082963
940	685.3832134	979.7983905
945	684.7884074	978.9020643
950	684.4027691	978.2980394
955	684.1626252	977.9632688
960	683.9086358	977.5685297
965	683.8049124	977.4773283
970	683.5910513	977.1415799
975	683.2862171	976.5239571
980	683.1822591	976.2740747
985	683.1203066	976.1780342
990	682.8845432	975.8729887
995	682.6702128	975.560253
1000	682.6154568	975.4944422
1005	682.193836	974.8307898
1010	681.8961984	974.3729642
1015	681.5935544	973.7013906
1020	681.5369994	973.6171902
1025	681.4239675	973.5086692
1030	681.1144399	973.1524146
1035	680.9877972	972.8918276
1040	680.8775031	972.7661808
1045	680.4593242	972.1426885
1050	680.2733886	971.9101407
1055	680.0945713	971.6425843
1060	679.8022528	971.158801
1065	679.7894243	971.1336859
1070	679.7740926	971.1286957
1075	679.579005	970.8397614
1080	679.5413016	970.750197
1085	679.4436014	970.6272851
1090	679.3613892	970.4364707
1095	679.2783166	970.3312261
1100	679.0595275	970.0084048
1105	678.9956195	969.9420521
1110	678.7604819	969.594318
1115	678.7559449	969.5929136
1120	678.579709	969.2643095
1125	678.4759074	969.1373246
1130	678.4451658	969.1170336
1135	678.216286	968.7722692
1140	677.9120776	968.3291158
1145	677.8358886	968.1586978
1150	677.7636108	968.0247
1155	677.5027378	967.6723864
1160	677.40801	967.4722131
1165	677.0425532	966.9534574
1170	676.9665207	966.8284059
1175	676.6533166	966.3984931
1180	676.5131414	966.246304
1185	676.2920056	965.9805785
1190	676.1163173	965.7178904
1195	676.0498279	965.6589572
1200	675.9065238	965.472512
1205	675.3832916	964.6171405
1210	675.1957134	964.3096424
1215	675.0204161	963.9236048
1220	674.8902534	963.774557
1225	674.7988892	963.6575714
1230	674.5068054	963.0780857
1235	674.342694	962.886316
1240	673.9419587	962.1145256
1245	673.548811	961.5791767
1250	673.3886108	961.3120779
1255	673.0284731	960.6525525
1260	672.6039581	960.0582377
1265	672.2950563	959.6161936
1270	671.8679599	958.8514615
1275	671.4616708	958.2149027
1280	671.4298342	958.1506593
1285	671.2351377	957.8461863
1290	671.1102159	957.6774157
1295	670.6742021	956.9693087
1300	670.508761	956.7972859
1305	670.4805225	956.7611614
1310	670.1321965	956.2933029
1315	670.0504537	956.2014964
1320	669.754224	955.7980631
1325	669.5999687	955.5910856
1330	669.3187578	955.1488191
1335	669.0959793	954.8357551
1340	668.8452753	954.5518748
1345	668.545995	954.0888937
1350	668.4299906	953.9221873
1355	668.2007979	953.6046047
1360	668.1439299	953.522956
1365	667.7509387	953.0574159
1370	667.5547559	952.769769
1375	667.2654881	952.3368742
1380	666.5413016	950.9510528
1385	666.3827441	950.7157649
1390	666.0394243	950.2225917
1395	665.875	949.9731687
1400	665.7893461	949.8947073
1405	665.6375939	949.6205263
1410	665.4791145	949.2908308
1415	665.3021746	949.1387256
1420	665.2420995	949.0404877
1425	664.9659731	948.4955639
1430	664.6908636	947.9442008
1435	664.6232009	947.8437686
1440	664.4086358	947.4317884
1445	664.2588392	947.0957068
1450	664.0114205	946.6125364
1455	663.7999061	946.3228036
1460	663.4585419	945.6989019
1465	663.0333229	945.1389154
1470	662.806868	944.8163035
1475	662.4693367	944.3196251
1480	662.3518461	944.1150521
1485	662.2797247	944.0326674
1490	662.2567272	944.0112852
1495	661.9285044	943.3668355
1500	661.4795839	942.7638753
1505	661.34199	942.5941038
1510	661.0562422	942.2891945
1515	660.6054443	941.6663631
1520	660.3602941	941.309077
1525	660.214878	941.0472051
1530	659.767209	940.2871343
1535	659.7126095	940.2281831
1540	659.6029412	940.0779346
1545	659.3984668	939.8620835
1550	659.3812578	939.8476376
1555	659.1728723	939.4729063
1560	658.9916302	939.2657426
1565	658.4432885	938.2401656
1570	658.2523467	937.9355916
1575	657.9732478	937.519471
1580	657.6172559	937.0350385
1585	657.4866239	936.8133133
1590	657.3743742	936.6788506
1595	657.3041302	936.603466
1600	657.1285982	936.3368563
1605	656.9503285	936.0809524
1610	656.7494524	935.8551924
1615	656.608495	935.574671
1620	656.5851064	935.5492855
1625	656.3484043	935.2360414
1630	656.258761	935.0332502
1635	655.6021981	933.9346296
1640	655.3887672	933.71946
1645	655.1326658	933.2868264
1650	654.8948686	932.8597022
1655	654.5974656	932.5529845
1660	654.1735372	931.9395899
1665	653.9073842	931.5170073
1670	653.7399484	931.2724658
1675	653.7014237	931.2519088
1680	653.6612954	931.2284269
1685	653.5534653	931.0825331
1690	653.2998279	930.6414007
1695	653.0191646	930.1412869
1700	652.7810936	929.7001818
1705	652.4977315	929.3338996
1710	652.4290128	929.2550746
1715	652.0556555	928.6667149
1720	651.8347935	928.3555488
1725	651.6490144	928.1827967
1730	651.3738267	927.7461135
1735	651.3214565	927.700871
1740	651.0739205	927.3821689
1745	651.0229193	927.342955
1750	650.6426392	926.6332346
1755	650.5628129	926.5792067
1760	650.3838392	926.3176239
1765	649.9292084	925.6007568
1770	649.5051236	925.0019761
1775	649.5031289	924.997733
1780	649.3062031	924.6337461
1785	649.1659887	924.4662337
1790	649.1226924	924.3958755
1795	648.9390645	924.1239237
1800	648.7183198	923.8625561
1805	648.5030507	923.5378025
1810	648.1912547	923.0190872
1815	647.9447356	922.7196456
1820	647.7428035	922.4138112
1825	647.4564299	921.8852969
1830	647.2082681	921.5419847
1835	647.0167397	921.2489754
1840	646.8369837	920.9730067
1845	646.5075876	920.533991
1850	646.2725282	920.1492179
1855	645.893265	919.4181324
1860	645.7473404	919.2004361
1865	645.6775657	919.1022665
1870	645.6726768	919.0989112
1875	645.6296934	919.0276191
1880	645.5890957	918.9887025
1885	645.5603489	918.9612027
1890	645.4301471	918.789692
1895	645.3881414	918.7628837
1900	644.9331977	917.9977123
1905	644.5707134	917.5108734
1910	644.2679912	917.0467919
1915	643.9141505	916.4946443
1920	643.3063986	915.4206321
1925	643.1552722	915.2041293
1930	642.8260717	914.677623
1935	642.7957603	914.666764
1940	642.3017053	913.8183572
1945	642.1059919	913.492225
1950	641.6906289	912.8585643
1955	641.6668883	912.8450951
1960	641.5959011	912.7498838
1965	641.5828379	912.7438286
1970	641.5826424	912.7429071
1975	641.4724656	912.6093303
1980	641.2806633	912.3447079
1985	641.2073295	912.2300393
1990	641.0441176	912.0580093
1995	641.0287078	912.0306957
1999	640.9486467	911.9241564
